The following is a sample of the 20,000 lemma list from the 1900s portion of the 100 million word Corpus del Español
(www.corpusdelespanol.org). This is the only large, tagged and lemmatized corpus of Spanish.

This sample list shows every tenth word in the list, with its rank order number (1-20,000), frequency, and part of speech.
It is also possible to purchase lists that show the frequency of each word form (e.g. salgo, saliste, salieran, etc)
for each of the 20,000 lemmas, as well as the frequency of each lemma in each of the five major genres
(spoken, fiction, newspaper, and academic).

For more information on this and other frequency lists, please go to http://www.wordfrequency.info, 
or contact us (word_frequency@byu.edu).


ID	freq	lemma	PoS
1211	1507	batalla	n
1221	1486	oponer	v
1231	1471	tropa	n
1241	1460	luchar	v
1251	1450	lejos	r
1261	1430	discutir	v
1271	1417	regla	n
1281	1410	instante	n
1291	1400	grito	n
1301	1391	asistir	v
1311	1386	durar	v
1321	1368	órgano	n
1331	1355	competencia	n
1341	1349	sonreír	v
1351	1341	trasladar	v
1361	1332	instalar	v
1371	1324	atravesar	v
1381	1316	patio	n
1391	1299	acusar	v
1401	1289	latino	j
1411	1281	sonrisa	n
1421	1265	arrastrar	v
1431	1255	emitir	v
1441	1248	cultivo	n
1451	1234	puesto	n
1461	1229	gana	n
1471	1217	dibujo	n
1481	1207	rico	j
1491	1201	intervenir	v
1501	1188	asimismo	r
1511	1182	satisfacer	v
1521	1176	criterio	n
1531	1170	común	n
1541	1162	gen	n
1551	1149	iniciativa	n
1561	1135	silla	n
1571	1129	discurso	n
1581	1124	instalación	n
1591	1115	primario	j
1601	1109	intervención	n
1611	1103	tren	n
1621	1096	deuda	n
1631	1085	significativo	j
1641	1078	gobernar	v
1651	1070	chica	n
1661	1059	cuándo	c
1671	1048	ave	n
1681	1043	experimentar	v
1691	1034	característico	j
1701	1025	constitucional	j
1711	1016	contemporáneo	j
1721	1008	doble	j
1731	1002	manifestación	n
1741	996	arreglar	v
1751	987	derrota	n
1761	981	ampliar	v
1771	975	auto	n
1781	965	perfectamente	r
1791	953	ceder	v
1801	948	creciente	j
1811	939	símbolo	n
1821	935	promover	v
1831	930	experto	n
1841	926	regalar	v
1851	921	liberal	j
1861	915	cargar	v
1871	911	emoción	n
1881	906	quemar	v
1891	900	protesta	n
1901	893	continuo	j
1911	886	ésa	p
1921	879	calcular	v
1931	874	condenar	v
1941	864	sindicato	n
1951	860	corrupción	n
1961	855	transportar	v
1971	850	alimentar	v
1981	847	renunciar	v
1991	843	sobrevivir	v
2001	839	designar	v
2011	835	denominado	j
2021	832	automóvil	n
2031	827	estadio	n
2041	822	tribunal	n
2051	818	japonés	j
2061	813	depósito	n
2071	806	únicamente	r
2081	802	divino	j
2091	796	besar	v
2101	792	maravilloso	j
2111	787	conectar	v
2121	782	descansar	v
2131	777	pista	n
2141	771	penetrar	v
2151	769	humor	n
2161	764	pasear	v
2171	758	colombiano	j
2181	756	acumular	v
2191	750	significado	n
2201	742	llanura	n
2211	739	juzgar	v
2221	733	especialista	n
2231	728	posesión	n
2241	724	eje	n
2251	721	castillo	n
2261	715	vapor	n
2271	712	opción	n
2281	706	rival	n
2291	703	palo	n
2301	698	situado	j
2311	695	alternativa	n
2321	690	compuesto	j
2331	683	hielo	n
2341	681	recurrir	v
2351	679	romántico	j
2361	673	repartir	v
2371	671	estallar	v
2381	667	taller	n
2391	665	justamente	r
2401	662	masculino	j
2411	660	leyenda	n
2421	658	primo	j
2431	653	titular	n
2441	649	bola	n
2451	646	oreja	n
2461	644	pece	n
2471	640	ballet	n
2481	637	imposible	j
2491	632	ferrocarril	n
2501	630	explotar	v
2511	627	excepto	r
2521	623	placa	n
2531	620	calentar	v
2541	617	franco	j
2551	613	legislación	n
2561	611	conductor	n
2571	608	absurdo	j
2581	604	consenso	n
2591	600	renacimiento	n
2601	598	desprender	v
2611	593	índice	n
2621	591	institucional	j
2631	587	horizonte	n
2641	586	oh	i
2651	582	silencioso	j
2661	581	igualmente	r
2671	577	yacimiento	n
2681	575	operativo	j
2691	572	té	n
2701	569	rojo	n
2711	568	planteamiento	n
2721	566	perfil	n
2731	564	transición	n
2741	562	realización	n
2751	559	colega	n
2761	556	asignar	v
2771	554	fama	n
2781	550	reducido	j
2791	548	orientar	v
2801	546	garganta	n
2811	545	estómago	n
2821	541	pluma	n
2831	539	xiii	j
2841	537	mandatari	n
2851	535	paralelo	j
2861	532	reiterar	v
2871	529	fusión	n
2881	526	disolver	v
2891	524	descartar	v
2901	520	ruso	n
2911	519	lógico	j
2921	518	naval	j
2931	516	rendimiento	n
2941	512	clavar	v
2951	510	vendedor	n
2961	508	ideal	j
2971	507	luminoso	j
2981	504	polémica	n
2991	502	solitario	j
3001	499	barrera	n
3011	497	responsable	j
3021	496	asentar	v
3031	491	emisor	n
3041	490	hola	n
3051	487	violación	n
3061	485	brasileño	j
3071	483	elegante	j
3081	480	bailarín	n
3091	478	defecto	n
3101	476	reglamento	n
3111	474	grasa	n
3121	471	marítimo	j
3131	469	prisa	n
3141	466	república	n
3151	464	golfo	n
3161	461	cuadra	n
3171	459	fomentar	v
3181	457	concretamente	r
3191	455	rito	n
3201	451	culpable	n
3211	449	navegación	n
3221	447	manuscrito	n
3231	445	mentir	v
3241	443	cena	n
3251	442	sorprendente	j
3261	440	desesperación	n
3271	438	ciudadanía	n
3281	437	falda	n
3291	436	vasto	j
3301	432	naranja	n
3311	429	ronda	n
3321	427	galaxia	n
3331	425	asamblea	n
3341	423	pecado	n
3351	421	aspiración	n
3361	420	oficialmente	r
3371	419	humilde	j
3381	417	comunista	n
3391	414	sabés	n
3401	412	lana	n
3411	410	discípulo	n
3421	408	paloma	n
3431	405	enriquecer	v
3441	404	centenar	n
3451	402	retener	v
3461	401	demandar	v
3471	399	teniente	n
3481	398	ahogar	v
3491	397	quebrar	v
3501	394	campesino	j
3511	392	olvido	n
3521	392	célebre	j
3531	390	estirar	v
3541	388	matemático	j
3551	388	penumbra	n
3561	386	condado	n
3571	385	robo	n
3581	383	propiamente	r
3591	382	subterráneo	j
3601	380	doble	n
3611	378	últimamente	r
3621	377	sobresalir	v
3631	375	restablecer	v
3641	374	tornar	v
3651	372	retroceder	v
3661	371	precedente	n
3671	369	observador	n
3681	368	inútil	n
3691	366	tonto	n
3701	365	calmar	v
3711	363	gira	n
3721	362	defensivo	j
3731	360	sacrificar	v
3741	359	terraza	n
3751	358	secundario	n
3761	357	salarial	j
3771	356	ecológico	j
3781	356	narrador	n
3791	355	abrazo	n
3801	354	diámetro	n
3811	353	étnico	j
3821	352	despacio	n
3831	351	descendiente	n
3841	350	bordo	n
3851	348	diccionario	n
3861	347	librar	v
3871	346	votante	n
3881	344	transacción	n
3891	343	distraer	v
3901	341	suspirar	v
3911	339	tropezar	v
3921	338	afortunadamente	r
3931	337	licencia	n
3941	336	emocional	j
3951	334	antepasado	n
3961	333	agricultor	n
3971	333	anónimo	j
3981	331	cauce	n
3991	330	metropolitano	j
4001	329	pretensión	n
4011	327	industrial	n
4021	326	erosión	n
4031	324	taza	n
4041	324	entrevistar	v
4051	323	rematar	v
4061	322	asombro	n
4071	320	expresivo	j
4081	319	latitud	n
4091	318	mosaico	n
4101	317	aburrir	v
4111	316	terremoto	n
4121	314	soplar	v
4131	313	flaco	j
4141	312	arcilla	n
4151	311	supuestamente	r
4161	310	ciego	j
4171	307	biografía	n
4181	306	rebelde	n
4191	305	estrictamente	r
4201	304	amo	n
4211	303	cazar	v
4221	301	dulce	n
4231	300	secuestro	n
4241	299	ético	j
4251	298	riguroso	j
4261	298	cilindro	n
4271	297	periodista	j
4281	295	estrecho	n
4291	294	niebla	n
4301	293	cereal	n
4311	293	determinante	n
4321	292	exagerar	v
4331	291	ganadería	n
4341	290	láser	n
4351	289	repleto	j
4361	288	coincidencia	n
4371	287	bigote	n
4381	285	agravar	v
4391	285	desbordar	v
4401	283	auxilio	n
4411	282	registrado	j
4421	281	sedimento	n
4431	280	incorporación	n
4441	279	fiel	j
4451	278	ilícito	j
4461	277	cadera	n
4471	276	porvenir	n
4481	276	genial	j
4491	274	ardiente	j
4501	273	comunicado	n
4511	272	iluminación	n
4521	271	trepar	v
4531	270	incidencia	n
4541	269	nacionalidad	n
4551	267	patada	n
4561	266	parlamentario	n
4571	265	complacer	v
4581	264	secuestrar	v
4591	263	razonable	j
4601	262	públicamente	r
4611	261	plácido	j
4621	261	reprimir	v
4631	260	vera	r
4641	259	careta	n
4651	258	abeja	n
4661	257	laberinto	n
4671	256	campamento	n
4681	255	textura	n
4691	255	humano	n
4701	254	reservar	v
4711	253	profundizar	v
4721	252	enfocar	v
4731	251	catástrofe	n
4741	250	oriental	n
4751	250	guante	n
4761	248	terrorista	j
4771	248	motivación	n
4781	247	iniciado	j
4791	246	desnudo	n
4801	246	abundancia	n
4811	245	grandeza	n
4821	244	asesino	n
4831	243	elevación	n
4841	242	sueco	j
4851	241	sacro	j
4861	241	pánico	n
4871	240	rosado	j
4881	240	jurisdicción	n
4891	239	anatomía	n
4901	238	huésped	n
4911	237	hidroeléctrico	j
4921	236	protestante	n
4931	235	pensador	n
4941	235	cósmico	j
4951	234	impregnar	v
4961	233	formalmente	r
4971	232	especificar	v
4981	232	convivencia	n
4991	231	murmullo	n
5001	231	protocolo	n
5011	230	desafiar	v
5021	229	finanzas	n
5031	228	resignar	v
5041	228	electromagnético	j
5051	227	bono	n
5061	226	fluido	n
5071	225	recital	n
5081	224	leña	n
5091	224	intensificar	v
5101	223	crucial	j
5111	223	oponente	n
5121	222	conferir	v
5131	221	carajo	n
5141	220	impunidad	n
5151	220	rentable	j
5161	219	rencor	n
5171	218	viable	j
5181	217	rocoso	j
5191	216	rienda	n
5201	216	peste	n
5211	215	ácido	j
5221	214	realista	n
5231	214	apurar	v
5241	213	amplitud	n
5251	213	jorge	n
5261	212	catedrático	n
5271	211	ladrón	n
5281	210	abolir	v
5291	210	conllevar	v
5301	208	academia	n
5311	208	tributario	j
5321	207	gracioso	j
5331	206	autoritario	j
5341	206	superioridad	n
5351	205	coordinador	n
5361	205	submarino	n
5371	204	fugaz	j
5381	203	republicano	n
5391	203	fernando	n
5401	202	remate	n
5411	202	virreinato	n
5421	201	derrocar	v
5431	201	formidable	j
5441	200	sabroso	j
5451	200	gestionar	v
5461	199	dedicación	n
5471	199	mostrador	n
5481	198	débil	n
5491	198	retórica	n
5501	197	predicción	n
5511	197	lomo	n
5521	196	estampa	n
5531	196	virtual	j
5541	195	complicidad	n
5551	195	ostentar	v
5561	194	sirena	n
5571	194	funerario	j
5581	193	enteramente	r
5591	192	soberano	j
5601	192	bordear	v
5611	192	mundial	n
5621	191	unificación	n
5631	191	apuro	n
5641	190	salado	j
5651	189	acontecer	v
5661	189	revuelto	j
5671	188	lujoso	j
5681	188	pío	j
5691	187	descarga	n
5701	187	olvidado	j
5711	186	agonía	n
5721	186	estrechar	v
5731	185	litoral	n
5741	185	tembloroso	j
5751	184	anomalía	n
5761	183	lema	n
5771	183	trascender	v
5781	182	garra	n
5791	182	licitación	n
5801	181	pronombre	n
5811	181	metáfora	n
5821	181	cuidadoso	j
5831	180	cordero	n
5841	180	oeste	j
5851	179	erigir	v
5861	179	grieta	n
5871	179	desenlace	n
5881	178	esquí	n
5891	177	inmueble	n
5901	177	normalidad	n
5911	176	coral	n
5921	176	soltero	n
5931	175	lamento	n
5941	175	penal	n
5951	174	maligno	j
5961	174	delirio	n
5971	173	disipar	v
5981	173	seleccionado	j
5991	173	terrorista	n
6001	172	informal	j
6011	171	cobro	n
6021	171	indiscutible	j
6031	170	semejanza	n
6041	170	vértigo	n
6051	169	ciervo	n
6061	169	octavo	j
6071	169	alfar	v
6081	168	humillar	v
6091	168	australiano	j
6101	167	corporación	n
6111	167	contiguo	j
6121	167	exento	j
6131	166	artesanía	n
6141	166	equipamiento	n
6151	165	vanidad	n
6161	165	asar	v
6171	164	per	j
6181	164	francia	n
6191	163	frutar	v
6201	163	famoso	n
6211	163	adyacente	j
6221	162	anotación	n
6231	162	ídolo	n
6241	161	instituir	v
6251	161	criollo	n
6261	160	sigla	n
6271	160	análogo	j
6281	160	aurora	n
6291	159	inmunológico	j
6301	159	anciano	j
6311	158	afianzar	v
6321	158	caldo	n
6331	158	estéril	j
6341	157	cachorro	n
6351	157	acompañamiento	n
6361	156	entrelazar	v
6371	156	detector	n
6381	155	cabaña	n
6391	155	olfato	n
6401	154	implicación	n
6411	154	precoz	j
6421	153	trofeo	n
6431	153	simetría	n
6441	153	convergencia	n
6451	152	puñado	n
6461	152	lácteo	j
6471	152	emanar	v
6481	151	vaivén	n
6491	151	credo	n
6501	151	mendigo	n
6511	150	director	j
6521	150	tobillo	n
6531	150	mama	n
6541	149	distorsión	n
6551	149	humedecer	v
6561	149	antibiótico	n
6571	148	evidenciar	v
6581	148	contenedor	n
6591	148	flojo	j
6601	147	persistente	j
6611	147	monótono	j
6621	147	clérigo	n
6631	146	profesorado	n
6641	146	temático	j
6651	146	vector	n
6661	145	esculpir	v
6671	145	ingerir	v
6681	145	antología	n
6691	145	castaño	n
6701	144	segregar	v
6711	144	césped	n
6721	143	óptica	n
6731	143	lanzador	n
6741	142	larva	n
6751	142	orina	n
6761	142	génico	j
6771	141	trazado	n
6781	141	doctorado	n
6791	140	jubilación	n
6801	140	yugoslavo	j
6811	139	setiembre	n
6821	139	evangélico	j
6831	139	métrico	j
6841	138	apasionado	j
6851	138	costilla	n
6861	137	tempestad	n
6871	137	arquero	j
6881	137	prematuro	j
6891	137	cronológico	j
6901	136	colosal	j
6911	136	farsa	n
6921	136	músico	j
6931	135	pelotón	n
6941	135	unánime	j
6951	135	osar	v
6961	134	prólogo	n
6971	134	carpintero	n
6981	134	astronomía	n
6991	133	risueño	j
7001	133	calizo	j
7011	133	revestir	v
7021	132	silicio	n
7031	132	ensayista	j
7041	132	esparcir	v
7051	132	genuino	j
7061	132	rellenar	v
7071	131	empero	c
7081	131	napoleónico	j
7091	131	aparentar	v
7101	130	excitar	v
7111	130	suplemento	n
7121	130	potasio	n
7131	130	enrojecer	v
7141	129	cercar	v
7151	129	exclusiva	n
7161	129	asfalto	n
7171	128	ministerial	j
7181	128	lagarto	n
7191	128	hélice	n
7201	128	normativa	n
7211	127	comarca	n
7221	127	grada	n
7231	127	interferencia	n
7241	126	pecador	n
7251	126	humildad	n
7261	126	ecuador	n
7271	126	prolongación	n
7281	125	temática	n
7291	125	africano	n
7301	125	inseguro	j
7311	125	guaraní	j
7321	124	loro	n
7331	124	fuero	n
7341	124	lamer	v
7351	123	cucaracha	n
7361	123	divorciar	v
7371	123	impreciso	j
7381	122	veintitrés	m
7391	122	chapa	n
7401	122	péndulo	n
7411	122	caldera	n
7421	122	descuento	n
7431	121	asi	r
7441	121	vaina	n
7451	121	metafísica	n
7461	120	desastroso	j
7471	120	víbora	n
7481	120	visibilidad	n
7491	120	engendrar	v
7501	119	morfema	n
7511	119	abdicar	v
7521	119	emocionante	j
7531	119	tajo	n
7541	118	alcoba	n
7551	118	operístico	j
7561	118	anatómico	j
7571	118	monstruoso	j
7581	117	austero	j
7591	117	contaminante	j
7601	117	artificio	n
7611	117	rue	n
7621	116	retablo	n
7631	116	cacao	n
7641	116	vertical	n
7651	116	huida	n
7661	115	malla	n
7671	115	legalizar	v
7681	115	profesar	v
7691	115	micro	n
7701	114	significativamente	r
7711	114	plantel	n
7721	114	tupido	j
7731	114	solidario	j
7741	113	traspaso	n
7751	113	colonizador	n
7761	113	boom	n
7771	113	galope	n
7781	112	mayoritariamente	r
7791	112	desilusión	n
7801	112	base	j
7811	112	quemadura	n
7821	112	fecundación	n
7831	111	bibliografía	n
7841	111	blues	n
7851	111	excitación	n
7861	111	armisticio	n
7871	111	patrulla	n
7881	110	cana	n
7891	110	alarido	n
7901	110	prominente	j
7911	110	brasil	n
7921	109	honrado	j
7931	109	mecenas	n
7941	109	escueto	j
7951	108	oscilación	n
7961	108	anarquista	n
7971	108	inquilino	n
7981	108	ingrato	j
7991	108	sísmico	j
8001	107	mismísimo	j
8011	107	ensalada	n
8021	107	añorar	v
8031	107	culminante	j
8041	106	fenomenal	j
8051	106	multilateral	j
8061	106	congénito	j
8071	106	desterrar	v
8081	106	concordar	v
8091	106	sauce	n
8101	105	auxiliar	j
8111	105	impureza	n
8121	105	sustancialmente	r
8131	105	center	i
8141	105	pablo	n
8151	104	viudo	j
8161	104	doncella	n
8171	104	entonación	n
8181	104	equivocación	n
8191	103	nutrición	n
8201	103	poncho	n
8211	103	deformación	n
8221	103	azulado	j
8231	102	guillermo	n
8241	102	inflar	v
8251	102	inercia	n
8261	102	flote	n
8271	102	incumplimiento	n
8281	101	cotizar	v
8291	101	enfilar	v
8301	101	afinar	v
8311	101	cesión	n
8321	101	angular	j
8331	100	naipes	n
8341	100	cardiaco	j
8351	100	nórdico	j
8361	100	sumiso	j
8371	100	hincar	v
8381	99	silvicultura	n
8391	99	imperar	v
8401	99	estupor	n
8411	99	décimo	n
8421	99	propulsión	n
8431	98	sorpresivo	j
8441	98	pajarito	n
8451	98	franqueza	n
8461	98	microprocesador	n
8471	98	lejanía	n
8481	98	impresionista	j
8491	97	agrado	n
8501	97	confiscar	v
8511	97	o	i
8521	97	racha	n
8531	97	ras	n
8541	96	patriarca	n
8551	96	gruñir	v
8561	96	agobiar	v
8571	96	estrago	n
8581	96	accidental	j
8591	95	carcomer	v
8601	95	avispa	n
8611	95	reluciente	j
8621	95	experimentado	j
8631	95	atestiguar	v
8641	95	infinitivo	n
8651	95	inorgánico	j
8661	94	dentadura	n
8671	94	individualidad	n
8681	94	revertir	v
8691	94	madrigal	n
8701	94	aullar	v
8711	93	promulgado	j
8721	93	felipe	n
8731	93	bromear	v
8741	93	naturalismo	n
8751	93	alineado	j
8761	92	extracto	n
8771	92	cápsula	n
8781	92	apreciable	j
8791	92	bárbaro	n
8801	92	lúgubre	j
8811	91	alarde	n
8821	91	farmacéutico	n
8831	91	diversificar	v
8841	91	desproveer	v
8851	91	anarquía	n
8861	90	damián	n
8871	90	tortilla	n
8881	90	chorrear	v
8891	90	divergencia	n
8901	90	antorcha	n
8911	89	vasallo	n
8921	89	pulsera	n
8931	89	transportista	n
8941	89	ligereza	n
8951	89	legislar	v
8961	89	polilla	n
8971	88	simétrico	j
8981	88	filme	n
8991	88	interestelar	j
9001	88	pinchar	v
9011	88	inflamación	n
9021	88	entornar	v
9031	88	privatizar	v
9041	87	pregonar	v
9051	87	expansivo	j
9061	87	cómoda	n
9071	87	espontáneamente	r
9081	87	escasamente	r
9091	86	raso	j
9101	86	mulato	n
9111	86	ecuménico	j
9121	86	litografía	n
9131	86	forrar	v
9141	86	uniformidad	n
9151	86	comprensivo	j
9161	86	silenciosamente	r
9171	85	zinc	n
9181	85	fantasmal	j
9191	85	desfavorable	j
9201	85	decrecer	v
9211	85	blancura	n
9221	85	excitado	j
9231	84	balbucear	v
9241	84	bolero	n
9251	84	roncar	v
9261	84	fusilamiento	n
9271	83	mezquino	j
9281	83	plagado	j
9291	83	violonchelo	n
9301	83	cepillo	n
9311	83	copioso	j
9321	83	espontaneidad	n
9331	82	galo	j
9341	82	automovilístico	j
9351	82	fotograma	n
9361	82	inmutable	j
9371	82	peinado	n
9381	82	travesura	n
9391	82	motín	n
9401	81	aluvial	j
9411	81	supersónico	j
9421	81	delegar	v
9431	81	riquísimo	j
9441	81	monotonía	n
9451	81	descompuesto	j
9461	80	sufijo	j
9471	80	desmedido	j
9481	80	polímero	n
9491	80	flagelo	n
9501	80	seriar	v
9511	80	lobo	j
9521	80	vertido	n
9531	79	siervo	n
9541	79	cuantioso	j
9551	79	fermentación	n
9561	79	stand	n
9571	79	hall	n
9581	79	innegable	j
9591	78	cualificado	j
9601	78	confortable	j
9611	78	ilegalmente	r
9621	78	delantera	n
9631	78	suicida	j
9641	78	estantería	n
9651	78	dorsal	n
9661	77	coexistir	v
9671	77	reñir	v
9681	77	cajita	n
9691	77	inconcluso	j
9701	77	simpático	n
9711	77	magnetismo	n
9721	77	epopeya	n
9731	77	cómodamente	r
9741	76	bulevar	n
9751	76	instructor	n
9761	76	reflector	n
9771	76	longitudinal	j
9781	76	vello	n
9791	76	confidencial	j
9801	75	releer	v
9811	75	tapete	n
9821	75	ladrido	n
9831	75	enfriamiento	n
9841	75	distribuidor	n
9851	75	apartar	-
9861	75	lagartija	n
9871	75	taberna	n
9881	75	pimienta	n
9891	74	sendos	n
9901	74	felicitación	n
9911	74	virtuoso	j
9921	74	decimal	j
9931	74	labrador	n
9941	74	falsificación	n
9951	73	intercontinental	j
9961	73	hijastro	j
9971	73	incentivar	v
9981	73	resplandecer	v
9991	73	leona	n
10001	73	vera	n
10011	73	luciérnaga	n
10021	72	dentista	n
10031	72	remolcado	j
10041	72	tórax	n
10051	72	respiro	n
10061	72	bibliotecario	n
10071	72	grisáceo	j
10081	72	proteico	j
10091	71	clamor	n
10101	71	galardonar	v
10111	71	compaginar	v
10121	71	afección	n
10131	71	mucamo	n
10141	71	vagabundo	n
10151	71	rumano	j
10161	71	compadecer	v
10171	71	docente	n
10181	70	incontrolable	j
10191	70	restablecimiento	n
10201	70	diversificación	n
10211	70	sha	n
10221	70	desnivel	n
10231	70	ocre	n
10241	70	severamente	r
10251	70	ejemplificar	v
10261	69	mercenario	n
10271	69	cutáneo	j
10281	69	caligrafía	n
10291	69	reabrir	v
10301	69	fluidez	n
10311	69	meandro	n
10321	69	amablemente	r
10331	69	mísero	j
10341	68	persistencia	n
10351	68	colombia	n
10361	68	inflexible	j
10371	68	autoritarismo	n
10381	68	platino	n
10391	68	paralelismo	n
10401	68	crisol	n
10411	68	ciénaga	n
10421	68	artificialmente	r
10431	67	amenazador	j
10441	67	encargado	j
10451	67	sefardí	n
10461	67	climatológico	j
10471	67	racismo	n
10481	67	automotor	n
10491	67	despensa	n
10501	67	germinal	j
10511	67	alero	n
10521	66	polígono	n
10531	66	oleaje	n
10541	66	cerrojo	n
10551	66	remunerar	v
10561	66	infortunio	n
10571	66	impertinente	j
10581	66	indiscutiblemente	r
10591	66	copto	j
10601	66	donativo	n
10611	65	incrustación	n
10621	65	cuneiforme	j
10631	65	adulterio	n
10641	65	redondo	n
10651	65	morfológico	j
10661	65	cetro	n
10671	65	carpintería	n
10681	65	ch	n
10691	65	roma	n
10701	64	prepotencia	n
10711	64	arañar	v
10721	64	discordia	n
10731	64	chivo	n
10741	64	virtuoso	n
10751	64	tachar	v
10761	64	eterno	n
10771	64	bandolero	n
10781	63	peligrar	v
10791	63	crujido	n
10801	63	formulario	n
10811	63	picante	j
10821	63	guardaespaldas	n
10831	63	dualidad	n
10841	63	apretón	n
10851	63	solidificar	v
10861	63	feo	n
10871	62	importador	n
10881	62	erección	n
10891	62	jefa	n
10901	62	ojito	n
10911	62	criminalidad	n
10921	62	escarbar	v
10931	62	alquimia	n
10941	62	cosaco	n
10951	61	circulante	j
10961	61	barca	n
10971	61	atrocidad	n
10981	61	arquetipo	n
10991	61	pleistoceno	n
11001	61	ajenar	v
11011	61	desuso	n
11021	61	refrendar	v
11031	61	cordura	n
11041	61	insaciable	j
11051	60	lumbre	n
11061	60	proteccionista	j
11071	60	impermeable	n
11081	60	decorativas	n
11091	60	guijarro	n
11101	60	escarabajo	n
11111	60	extinto	j
11121	60	menear	v
11131	60	manicomio	n
11141	60	condensación	n
11151	59	tapón	n
11161	59	vivaz	j
11171	59	ulterior	j
11181	59	insistentemente	r
11191	59	grecorromano	j
11201	59	inesperadamente	r
11211	59	gato	j
11221	59	subsidiario	j
11231	59	chicle	n
11241	59	páncreas	n
11251	59	estimulación	n
11261	58	palmo	n
11271	58	pinar	n
11281	58	golpetear	v
11291	58	lirismo	n
11301	58	adecuación	n
11311	58	pelusa	n
11321	58	poroso	j
11331	58	mico	n
11341	58	predisponer	v
11351	58	simplificación	n
11361	58	sida	n
11371	57	venerable	j
11381	57	auténticamente	r
11391	57	desembolso	n
11401	57	sobrevolar	v
11411	57	navideño	j
11421	57	cautiverio	n
11431	57	sílice	n
11441	57	deducción	n
11451	57	restaurante	j
11461	57	añoranza	n
11471	57	superconductor	n
11481	56	vegetativo	j
11491	56	peinado	j
11501	56	extremista	j
11511	56	cautivar	v
11521	56	empanada	n
11531	56	inalterable	j
11541	56	retazo	n
11551	56	derrocamiento	n
11561	56	aditivo	j
11571	56	picotear	v
11581	55	contundencia	n
11591	55	cabalgata	n
11601	55	quiosco	n
11611	55	traumático	j
11621	55	quinta	n
11631	55	balompié	n
11641	55	dominico	n
11651	55	olfatear	v
11661	55	zapatista	n
11671	55	bautizo	n
11681	55	granado	n
11691	55	pileta	n
11701	54	cabecear	v
11711	54	indescriptible	j
